WB_A3,NAM_0,GEM_PGA_mean,GEM_PGA_median,FLOOD_mean,FLOOD_median,STORM_mean,STORM_median
MRT,Mauritania,0.010161601796399083,0.0,0.004984436306486528,0.0,3.5973868983177884,0.0
SHN,"Saint Helena, Ascension and Tristan da Cunha (U.K.)",,,0.0,0.0,0.0,0.0
STP,SÃ£o TomÃ© and PrÃ­ncipe,0.0011769263460706552,0.0,0.01292469912561877,0.0,0.0,0.0
GMB,The Gambia,0.011049880972533465,0.010709251433318915,0.108946253647952,0.0,0.0,0.0
GNB,Guinea-Bissau,0.03139339322663459,0.0317763400000002,0.05548622105543616,0.0,0.0,0.0
GUM,Guam (U.S.),,,0.0,0.0,47.37969207763672,47.37334442138672
MNP,Northern Mariana Islands (U.S.),,,0.0,0.0,48.875892639160156,48.875892639160156
PHL,Philippines,0.49497437899924307,0.49388860000000007,0.054113786923212,0.0,38.170482420278006,42.580623626708984
SEN,Senegal,0.008989657496018493,0.008168125727673368,0.04105741972719203,0.0,0.0,0.0
SLE,Sierra Leone,0.019100216563557145,0.017944941927831696,0.059168787251878886,0.0,0.0,0.0
UMI,U.S. Minor Outlying Islands (U.S.),,,0.0,0.0,46.63873291015625,46.63873291015625
BGD,Bangladesh,0.24936605575833917,0.2271892600759312,0.636448617936659,0.0,28.51768423705433,29.771560668945312
BRN,Brunei Darussalam,0.015566926082802919,0.01417074906937523,0.031023312999609434,0.0,0.0,0.0
HKG,"Hong Kong SAR, China",0.028210137232019098,0.028162199771827063,0.04770743075284091,0.0,36.49906005859375,36.456748962402344
IDN,Indonesia,0.21794514004224608,0.18530215701014174,0.052096224164894955,0.0,0.6007273573839315,0.0
KHM,Cambodia,0.007355872579151187,0.0,0.12956373922637052,0.0,23.12397422082228,23.267593383789062
LAO,Lao People's Democratic Republic,0.10017776309671939,0.06866566500016923,0.122178519816874,0.0,15.929321846461187,21.584938049316406
MAC,"Macau SAR, China",,,0.8074302673339844,0.0,0.0,0.0
