Model,Variable,Coefficient,Std_Error,P_Value,Sig
VULN-J.4,R-squared,0.6601580230755478,,,
VULN-J.4,Adj. R-squared,0.6330691698424393,,,
VULN-J.4,N,150,,,
VULN-J.4,Region Fixed Effects,Yes,,,
VULN-J.5,Constant,0.5947147569904159,0.03641873073638687,6.046909059710688e-60,***
VULN-J.5,Poverty Gap ($4.20/day),-0.0009765458166762053,0.001671268819679201,0.5590090556361829,
VULN-J.5,Log GDP per Capita (PPP),0.08142527113249087,0.023496462166566152,0.0005293904970740357,***
VULN-J.5,Building Quality Index,0.0059009922937932795,0.005850725847067625,0.3131705907604996,
VULN-J.5,Earthquake Count (Log),0.025324723912335194,0.0261788197896942,0.33335682983488224,
VULN-J.5,Building Quality × Earthquake,0.005867852131464246,0.007075206788776813,0.40690403645691997,
VULN-J.5,Region FE: Europe & Central Asia,-0.06274095701744965,0.04536591906399507,0.16666560293727783,
VULN-J.5,Region FE: Latin America & Caribbean,0.10310810453695718,0.06063371633354702,0.08903545988938875,*
VULN-J.5,Region FE: Middle East & North Africa,0.08570194797615609,0.06785055248957324,0.20655369350512498,
VULN-J.5,Region FE: North America,0.11268664826094854,0.08624071670051309,0.19133075694426316,
VULN-J.5,Region FE: South Asia,-0.2445828975097477,0.10048765803334209,0.014934662897759082,**
VULN-J.5,Region FE: Sub-Saharan Africa,-0.27126994004948657,0.05225373165282424,2.0872044805511515e-07,***
VULN-J.5,R-squared,0.6491687819251295,,,
VULN-J.5,Adj. R-squared,0.6212039746872775,,,
VULN-J.5,N,150,,,
VULN-J.5,Region Fixed Effects,Yes,,,
VULN-K.1,Constant,0.6051197175376344,0.04408890046013015,7.193906744582179e-43,***
VULN-K.1,Poverty Gap ($4.20/day),-0.0013401711168609363,0.0018039620293605727,0.4575396328388296,
VULN-K.1,Log GDP per Capita (PPP),0.08126785116873575,0.024139531823938246,0.0007610437601585358,***
VULN-K.1,Storm Count (Log),0.015138134373074215,0.017318526653450475,0.38206347599647417,
VULN-K.1,Region FE: Europe & Central Asia,-0.07058847053471749,0.05635146659698211,0.21033436393577087,
VULN-K.1,Region FE: Latin America & Caribbean,0.09009957971165536,0.055174276610212895,0.10246905000759934,
VULN-K.1,Region FE: Middle East & North Africa,0.09324136088162868,0.07778477869158403,0.23064088423905071,
VULN-K.1,Region FE: North America,0.08999098562918897,0.07820842402406374,0.24987382018612592,
VULN-K.1,Region FE: South Asia,-0.22842750540125262,0.10680837712362337,0.03246268201157483,**
VULN-K.1,Region FE: Sub-Saharan Africa,-0.2801367418098609,0.05962589086276608,2.6241304657517903e-06,***
VULN-K.1,R-squared,0.6317224640003879,,,
VULN-K.1,Adj. R-squared,0.60804747954327,,,
VULN-K.1,N,150,,,
VULN-K.1,Region Fixed Effects,Yes,,,
VULN-K.2,Constant,0.6129812826222877,0.04503636599225812,3.4540888667621804e-42,***
VULN-K.2,Poverty Gap ($4.20/day),-0.0015827014675013204,0.0017466482250900065,0.3648636814396743,
VULN-K.2,Log GDP per Capita (PPP),0.0850664271001615,0.0250293179057811,0.0006771401725631385,***
VULN-K.2,Storm Count (Log),0.015656149505694678,0.017215074685899803,0.36311570934123016,
VULN-K.2,Poverty × Storm,0.001326316572035294,0.0008410028725587823,0.11478046647377432,
VULN-K.2,Region FE: Europe & Central Asia,-0.08504836748162968,0.0587675400284083,0.14784099492506247,
VULN-K.2,Region FE: Latin America & Caribbean,0.08071921623546675,0.05530150432100448,0.14439436793248328,
VULN-K.2,Region FE: Middle East & North Africa,0.07710201375698536,0.08087966310516448,0.34044165549937133,
VULN-K.2,Region FE: North America,0.10050783953835812,0.0748249380761904,0.17919431781494854,
VULN-K.2,Region FE: South Asia,-0.23353748891548567,0.10518587072663493,0.02640273110621556,**
VULN-K.2,Region FE: Sub-Saharan Africa,-0.2731439315434117,0.058720041374653205,3.2932087223618484e-06,***
VULN-K.2,R-squared,0.635508415295903,,,
VULN-K.2,Adj. R-squared,0.6092859991301406,,,
VULN-K.2,N,150,,,
VULN-K.2,Region Fixed Effects,Yes,,,
VULN-K.3,Constant,0.6095692364239762,0.0448901506527153,5.32545132576693e-42,***
VULN-K.3,Poverty Gap ($4.20/day),-0.00238042398514124,0.0018005209460465275,0.1861431304392872,
VULN-K.3,Log GDP per Capita (PPP),0.0784961491657985,0.024295086643676564,0.0012338060487231898,***
VULN-K.3,Storm Count (Log),0.019060956893936463,0.016865947791785817,0.2584153723070488,
VULN-K.3,C_log_GDP:C_log_DIS_STM,-0.02230672610117892,0.010275030706473282,0.02993386185660377,**
VULN-K.3,Region FE: Europe & Central Asia,-0.07676144243513823,0.05751136348109961,0.18196871474437648,
VULN-K.3,Region FE: Latin America & Caribbean,0.0768914540044592,0.056524137557585216,0.17372566467964057,
VULN-K.3,Region FE: Middle East & North Africa,0.0767546739889505,0.07835270548168352,0.3272813127643218,
VULN-K.3,Region FE: North America,0.17000066231867567,0.0758379480567962,0.0249852588847837,**
VULN-K.3,Region FE: South Asia,-0.25230253454165436,0.1090825867162196,0.020725405670194836,**
VULN-K.3,Region FE: Sub-Saharan Africa,-0.25594110712700024,0.061017334297006266,2.7339708520259536e-05,***
VULN-K.3,R-squared,0.6401175032775351,,,
VULN-K.3,Adj. R-squared,0.6142266761751995,,,
VULN-K.3,N,150,,,
VULN-K.3,Region Fixed Effects,Yes,,,
VULN-K.4,Constant,0.5939870246442849,0.043814259097473024,7.208666454735775e-42,***
VULN-K.4,Poverty Gap ($4.20/day),-0.002453174480899224,0.0018809673029586056,0.1921623328852604,
VULN-K.4,Log GDP per Capita (PPP),0.042473307695018024,0.031024364898998163,0.1709896817045221,
VULN-K.4,Government Effectiveness (WGI),0.04905933526106249,0.026410445988428503,0.06322965484100902,*
VULN-K.4,Storm Count (Log),0.01925216059023709,0.01676245169576219,0.2507502801377204,
VULN-K.4,Gov. Effectiveness × Storm,-0.0210710500178343,0.015183930484562902,0.16522220296916157,
VULN-K.4,Region FE: Europe & Central Asia,-0.057472011508743925,0.0573723954368982,0.3164709665891937,
VULN-K.4,Region FE: Latin America & Caribbean,0.10764839792586245,0.056133759953644835,0.055147510243047614,*
VULN-K.4,Region FE: Middle East & North Africa,0.1130703722322384,0.07969558598535949,0.15596364556959083,
VULN-K.4,Region FE: North America,0.1491472696991631,0.07621198247326444,0.050346820435685266,*
VULN-K.4,Region FE: South Asia,-0.23902904797101882,0.10263585065414574,0.01986414949091188,**
VULN-K.4,Region FE: Sub-Saharan Africa,-0.25378292642088557,0.060220311415592816,2.5061917727352025e-05,***
VULN-K.4,R-squared,0.6458499027988551,,,
VULN-K.4,Adj. R-squared,0.6176205472248508,,,
VULN-K.4,N,150,,,
VULN-K.4,Region Fixed Effects,Yes,,,
VULN-K.5,Constant,0.6172531579161112,0.044028066726861936,1.1838267291648165e-44,***
VULN-K.5,Poverty Gap ($4.20/day),-0.0012788790885447444,0.0017718781200896838,0.47043915281423854,
VULN-K.5,Log GDP per Capita (PPP),0.0733889660427355,0.025071460099592456,0.0034203815433702218,***
VULN-K.5,Building Quality Index,0.008159391657693495,0.005041365262636186,0.10555736508268491,
VULN-K.5,Storm Count (Log),0.012134208156784126,0.017795109121314195,0.49531202016882714,
VULN-K.5,Building Quality × Storm,-0.0006831931884264778,0.005002008506683684,0.8913598045023557,
VULN-K.5,Region FE: Europe & Central Asia,-0.08526847502881287,0.05657538714145286,0.13176822568089108,
VULN-K.5,Region FE: Latin America & Caribbean,0.0903455519229032,0.06067850229288986,0.13650793156996582,
VULN-K.5,Region FE: Middle East & North Africa,0.06212934494677821,0.0786173219584035,0.4293668804103209,
VULN-K.5,Region FE: North America,0.07969961514727089,0.07121992545932351,0.2631130733065149,
VULN-K.5,Region FE: South Asia,-0.24521458581246952,0.10295158394144668,0.017226205302161613,**
VULN-K.5,Region FE: Sub-Saharan Africa,-0.2950302012877584,0.05727481435980798,2.589171241505215e-07,***
VULN-K.5,R-squared,0.6375656822853293,,,
VULN-K.5,Adj. R-squared,0.6086759902935802,,,
VULN-K.5,N,150,,,
VULN-K.5,Region Fixed Effects,Yes,,,
VULN-L.1,Constant,0.5936911996917388,0.04197006539287503,1.9885121648932363e-45,***
VULN-L.1,Poverty Gap ($4.20/day),-0.0016723521160117217,0.0017611405671362106,0.3423233217836046,
VULN-L.1,Log GDP per Capita (PPP),0.07974384970580604,0.023394001758112643,0.0006526589723638302,***
VULN-L.1,Earthquake + Storm (Log),0.025576901069598642,0.016950996842185782,0.1313312467775367,
VULN-L.1,Region FE: Europe & Central Asia,-0.059488675021524384,0.053358451672183456,0.2648985999267762,
VULN-L.1,Region FE: Latin America & Caribbean,0.09334146288784056,0.05300262751297768,0.07822615471349853,*
VULN-L.1,Region FE: Middle East & North Africa,0.10749561322516019,0.0742625911161541,0.14775500467661395,
VULN-L.1,Region FE: North America,0.07859030068297723,0.08429824067398926,0.3511873246610252,
VULN-L.1,Region FE: South Asia,-0.23302408771362404,0.1071621661890216,0.029667635269169056,**
VULN-L.1,Region FE: Sub-Saharan Africa,-0.25542559397141695,0.06018727597468859,2.1972013212618054e-05,***
VULN-L.1,R-squared,0.6370858001995567,,,
VULN-L.1,Adj. R-squared,0.6137556016409569,,,
VULN-L.1,N,150,,,
VULN-L.1,Region Fixed Effects,Yes,,,
VULN-L.2,Constant,0.5988103743464837,0.04330756413817866,1.7536160949264887e-43,***
VULN-L.2,Poverty Gap ($4.20/day),-0.0018281433046347124,0.0017210266232916835,0.2881267492387003,
